Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj							
TIGR01058	138.7098469	0.039222217	0.16312284	0.240445891	0.809984606	0.924270441	DNA metabolism		parE_Gpos	"DNA topoisomerase IV, B subunit, Gram-positive"	parE	5.99.1.-	"Operationally, topoisomerase IV is a type II topoisomerase required for the decatenation step of chromosome segregation. Not every bacterium has both a topo II and a topo IV. The topo IV families of the Gram-positive bacteria and the Gram-negative bacteria appear not to represent a single clade among the type II topoisomerases, and are represented by separate models for this reason."
TIGR02071	17.42501222	-0.064399395	0.268248008	-0.240074083	0.810272825	0.924270441	Cell envelope		PBP_1b	penicillin-binding protein 1B	mrcB	NA	"Bacterial that synthesize a cell wall of peptidoglycan (murein) generally have several transglycosylases and transpeptidases for the task. This family consists of a particular bifunctional transglycosylase/transpeptidase in E. coli and other Proteobacteria, designated penicillin-binding protein 1B."
TIGR01885	29.3558916	-0.053833002	0.224366427	-0.239933412	0.810381878	0.924270441	NA		Orn_aminotrans	ornithine aminotransferase	rocD	2.6.1.13	This HMM describes the final step in the biosynthesis of ornithine from glutamate via the non-acetylated pathway.
TIGR03562	28.00085386	0.07385135	0.308022183	0.239759843	0.81051644	0.924270441	Cellular processes		osmo_induc_OsmC	"peroxiredoxin, OsmC subfamily"	NA	NA	"Pfam model PF02566, OsmC-like protein, contains several deeply split clades of homologous proteins. The clade modeled here includes the protein OsmC, or osmotically induced protein C. The member from Thermus thermophilus was shown to have hydroperoxide peroxidase activity. In many species, this protein is induced by stress and helps resist oxidative stress."
TIGR01043	8.339720935	0.112260436	0.469649728	0.239030132	0.811082218	0.924270441	Energy metabolism		ATP_syn_A_arch	"ATP synthase archaeal, A subunit"	NA	3.6.3.14	Archaeal ATP synthase shares extensive sequence similarity with eukaryotic and prokaryotic V-type (H+)-ATPases.
TIGR00103	8.721433486	-0.075538013	0.316032218	-0.239019977	0.811090092	0.924270441	Unknown function		DNA_YbaB_EbfC	"DNA-binding protein, YbaB/EbfC family"	NA	NA	"The function of this protein is unknown, but it has been expressed and crystallized. Its gene nearly always occurs next to recR and/or dnaX. It is restricted to Bacteria and the plant Arabidopsis. The plant form contains an additional N-terminal region that may serve as a transit peptide and shows a close relationship to the cyanobacterial member, suggesting that it is a chloroplast protein. Members of this family are found in a single copy per bacterial genome, but are broadly distributed. A member is present even in the minimal gene complement of Mycoplasm genitalium."
TIGR02314	63.7499384	-0.065154827	0.272866279	-0.23877933	0.811276699	0.924270441	NA		ABC_MetN	"D-methionine ABC transporter, ATP-binding protein"	metN	3.6.3.-	Members of this family are the ATP-binding protein of the D-methionine ABC transporter complex. Known members belong to the Proteobacteria.
TIGR02937	123.4917444	-0.086231858	0.361596811	-0.238475162	0.811512577	0.924270441	NA		sigma70-ECF	"RNA polymerase sigma factor, sigma-70 family"	NA	NA	"This model encompasses all varieties of the sigma-70 type sigma factors including the ECF subfamily. Several PFAM models hit segments of these sequences including Sigma-70 region 2 (PF04542) and Sigma-70, region 4 (PF04545), but not always above their respective trusted cutoffs."
TIGR02075	34.20915092	0.038496957	0.162752423	0.236536919	0.813016062	0.924270441	"Purines, pyrimidines, nucleosides, and nucleotides"		pyrH_bact	uridylate kinase	pyrH	2.7.4.22	"This protein, also called UMP kinase, converts UMP to UDP by adding a phosphate from ATP. It is the first step in pyrimidine biosynthesis. GTP is an allosteric activator. In a large fraction of all bacterial genomes, the gene tends to be located immediately downstream of elongation factor Ts and upstream of ribosome recycling factor. A related protein family, believed to be equivalent in function and found in the archaea and in spirochetes, is described by a separate model, TIGR02076."
TIGR01757	10.45768336	0.059278398	0.251741377	0.2354734	0.813841322	0.924270441	NA		Malate-DH_plant	"malate dehydrogenase, NADP-dependent"	NA	1.1.1.82	"This model represents the NADP-dependent malate dehydrogenase found in plants, mosses and green algae and localized to the chloroplast."
TIGR02985	23.21748995	0.098498186	0.420534172	0.234221597	0.814812949	0.924270441	NA		Sig70_bacteroi1	"RNA polymerase sigma-70 factor, Bacteroides expansion family 1"	NA	NA	This group of sigma factors are members of the sigma-70 family (TIGR02937) and are found primarily in the genus Bacteroides.
TIGR00420	12.92008928	-0.06982569	0.299393368	-0.233223905	0.815587544	0.924270441	Protein synthesis		trmU	tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase	trmU	2.1.1.61	"tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase (trmU, asuE, or mnmA) is involved in the biosynthesis of the modified nucleoside 5-methylaminomethyl-2-thiouridine (mnm5s2U34) present in the wobble position of some tRNAs. This enzyme appears not to occur in the Archaea."
TIGR03670	99.07620814	0.038676993	0.166144504	0.23279129	0.815923477	0.924270441	NA		rpoB_arch	DNA-directed RNA polymerase subunit B	rpoB	2.7.7.6	This model represents the archaeal version of DNA-directed RNA polymerase subunit B (rpoB) and is observed in all archaeal genomes.
TIGR01329	14.11680063	0.070480394	0.303784317	0.232008006	0.816531795	0.924270441	NA		cysta_beta_ly_E	"cystathionine beta-lyase, eukaryotic"	NA	4.4.1.8	"This HMM represents cystathionine beta-lyase (alternate name: beta-cystathionase), one of several pyridoxal-dependent enzymes of cysteine, methionine, and homocysteine metabolism. This enzyme is involved in the biosynthesis of Met from Cys."
TIGR01041	12.53419496	-0.095255456	0.410985168	-0.231773463	0.816713969	0.924270441	Energy metabolism		ATP_syn_B_arch	"ATP synthase archaeal, B subunit"	NA	3.6.3.14	Archaeal ATP synthase shares extensive sequence similarity with eukaryotic and prokaryotic V-type (H+)-ATPases.
TIGR00444	9.651077187	-0.074081682	0.320415832	-0.231204811	0.817155692	0.924270441	Unknown function		mazG	MazG family protein	NA	NA	This family of prokaryotic proteins has no known function. It includes the uncharacterized protein MazG in E. coli.
TIGR01141	11.79845569	-0.069332189	0.303228229	-0.228646881	0.819143384	0.925599518	Amino acid biosynthesis		hisC	histidinol-phosphate aminotransferase	hisC	2.6.1.9	Alternate names: histidinol-phosphate transaminase; imidazole acetol-phosphate transaminase Histidinol-phosphate aminotransferase is a pyridoxal-phosphate dependent enzyme.
TIGR01420	113.4167161	-0.056160688	0.246785738	-0.227568612	0.819981624	0.925628414	Cellular processes		pilT_fam	pilus retraction protein PilT	NA	NA	"This model represents the PilT subfamily of proteins related to GspE, a protein involved in type II secretion (also called the General Secretion Pathway). PilT is an apparent cytosolic ATPase associated with type IV pilus systems. It is not required for pilin biogenesis, but is required for twitching motility and social gliding behaviors, shown in some species, powered by pilus retraction. Members of this family may be found in some species that type IV pili but have related structures for DNA uptake and natural transformation."
TIGR02668	12.42031313	0.070424047	0.318578878	0.221056861	0.82504816	0.930009365	"Biosynthesis of cofactors, prosthetic groups, and carriers"		moaA_archaeal	"probable molybdenum cofactor biosynthesis protein A, archaeal"	moaA	NA	"This model describes an archaeal family related, and predicted to be functionally equivalent, to molybdenum cofactor biosynthesis protein A (MoaA) of bacteria (see TIGR02666)."
TIGR01536	37.17817965	0.034675227	0.157269913	0.220482266	0.825495582	0.930009365	Amino acid biosynthesis		asn_synth_AEB	asparagine synthase (glutamine-hydrolyzing)	asnB	6.3.5.4	"This HMM describes the glutamine-hydrolysing asparagine synthase. A poorly conserved C-terminal extension was removed from the model. Bacterial members of the family tend to have a long, poorly conserved insert lacking from archaeal and eukaryotic sequences. Multiple isozymes have been demonstrated, such as in Bacillus subtilis. Long-branch members of the phylogenetic tree (which typically were also second or third candidate members from their genomes) were removed from the seed alignment and score below trusted cutoff."
TIGR00967	106.2398427	-0.046214715	0.212498669	-0.217482375	0.827832441	0.93080892	Protein fate		3a0501s007	"preprotein translocase, SecY subunit"	secY	NA	"Members of this protein family are the SecY component of the SecYEG translocon, or protein translocation pore, which is driven by the ATPase SecA. This model does not discriminate bacterial from archaeal forms."
TIGR01055	80.12255588	0.036398187	0.167368731	0.217473039	0.827839716	0.93080892	DNA metabolism		parE_Gneg	"DNA topoisomerase IV, B subunit, proteobacterial"	parE	5.99.1.-	"Operationally, topoisomerase IV is a type II topoisomerase required for the decatenation of chromosome segregation. Not every bacterium has both a topo II and a topo IV. The topo IV families of the Gram-positive bacteria and the Gram-negative bacteria appear not to represent a single clade among the type II topoisomerases, and are represented by separate models for this reason. This protein is active as an alpha(2)beta(2) heterotetramer."
TIGR00048	19.1792763	0.055043545	0.25523315	0.215659859	0.829252893	0.931416978	Protein synthesis		rRNA_mod_RlmN	23S rRNA (adenine(2503)-C(2))-methyltransferase	rlmN	2.1.1.192	"Members of this family are RlmN, a 23S rRNA m2A2503 methyltransferase in the radical SAM enzyme family. Closely related is Cfr, a Staphylococcus sciuri plasmid-borne homolog to this family, Cfr, has been identified as essential to transferrable resistance to chloramphenicol and florfenicol. Cfr methylates 23S RNA at a different site."
TIGR02868	35.274446	-0.044616794	0.209840103	-0.212622817	0.831621173	0.931416978	NA		CydC	"thiol reductant ABC exporter, CydC subunit"	cydC	NA	The gene pair cydCD encodes an ABC-family transporter in which each gene contains an N-terminal membrane-spanning domain (PF00664) and a C-terminal ATP-binding domain (PF00005).
TIGR01853	21.10047857	-0.068396084	0.322465466	-0.212103593	0.832026217	0.931416978	Cell envelope		lipid_A_lpxD	UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase LpxD	lpxD	2.3.1.191	"This HMM describes LpxD, an enzyme for the biosynthesis of lipid A, a component oflipopolysaccharide (LPS) in the outer membrane outer leaflet of most Gram-negative bacteria. Some differences are found between lipid A of different species. This protein represents the third step from UDP-N-acetyl-D-glucosamine. The group added at this step generally is 14:0(3-OH) (myristate) but may vary; in Aquifex it appears to be 16:0(3-OH) (palmitate)."
TIGR02430	56.79127968	-0.040144346	0.189793249	-0.211516196	0.832484495	0.931416978	NA		pcaF	3-oxoadipyl-CoA thiolase	pcaF	2.3.1.174	"Members of this family are designated beta-ketoadipyl CoA thiolase, an enzyme that acts at the end of pathways for the degradation of protocatechuate (from benzoate and related compounds) and of phenylacetic acid."
TIGR01382	16.26434103	-0.084649436	0.400884399	-0.211156722	0.83276498	0.931416978	Protein fate		PfpI	"intracellular protease, PfpI family"	NA	NA	"The member of this family from Pyrococcus horikoshii has been solved to 2 Angstrom resolution. It is an ATP-independent intracellular protease that crystallizes as a hexameric ring. Cys-101 is proposed as the active site residue in a catalytic triad with the adjacent His-102 and a Glu residue from an adjacent monomer. A member of this family from Bacillus subtilis, GSP18, has been shown to be expressed in response to several forms of stress. A role in the degradation of small peptides has been suggested. A closely related family consists of the thiamine biosynthesis protein ThiJ and its homologs."
TIGR03433	28.41810506	0.068731477	0.328969813	0.208929434	0.834503326	0.931416978	Regulatory functions		padR_acidobact	"transcriptional regulator, Acidobacterial, PadR-family"	NA	NA	"Members of this protein family are putative transcriptional regulators of the PadR family, as found in species of the Acidobacteria. This family of proteins has expanded greatly in this lineage, and where it regularly is found in the vicinity of a putative transporter protein"
TIGR01073	36.6382156	-0.039007069	0.187149346	-0.208427493	0.834895192	0.931416978	DNA metabolism		pcrA	ATP-dependent DNA helicase PcrA	pcrA	3.6.4.12	Designed to identify pcrA members of the uvrD/rep subfamily.
TIGR01852	15.82087339	0.058083013	0.279614306	0.207725469	0.83544333	0.931416978	Cell envelope		lipid_A_lpxA	acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase	lpxA	2.3.1.129	"This HMM describes LpxA, an enzyme for the biosynthesis of lipid A, a component oflipopolysaccharide (LPS) in the outer membrane outer leaflet of most Gram-negative bacteria. Some differences are found between lipid A of different species, but this protein represents the first step (from UDP-N-acetyl-D-glucosamine) and appears to be conserved in function. Proteins from this family contain many copies of the bacterial transferase hexapeptide repeat (PF00132)."
TIGR03079	10.09485005	0.305430864	1.485919564	0.205550066	0.837142386	0.931416978	NA		CH4_NH3mon_ox_B	"methane monooxygenase/ammonia monooxygenase, subunit B"	NA	1.14.13.25	"Both ammonia oxidizers such as Nitrosomonas europaea and methanotrophs (obligate methane oxidizers) such as Methylococcus capsulatus each can grow only on their own characteristic substrate. However, both groups have the ability to oxidize both substrates, and so the relevant enzymes must be named here according to their ability to oxidze both. The protein family represented here reflects subunit B of both the particulate methane monooxygenase of methylotrophs and the ammonia monooxygenase of nitrifying bacteria."
TIGR03186	71.58976037	-0.043251916	0.210787192	-0.205192336	0.837421857	0.931416978	NA		AKGDH_not_PDH	alpha-ketoglutarate dehydrogenase	mdeB	NA	"Several bacterial species have a paralog to homodimeric form of the pyruvate dehydrogenase E1 component (see model TIGR00759), often encoded next to L-methionine gamma-lyase gene (mdeA). The member from a strain of Pseudomonas putida was shown to act on alpha-ketobutyrate, which is produced by MdeA.This model serves as an exception model to TIGR00759, as other proteins hitting TIGR00759 should be identified as the pyruvate dehydrogenase E1 component."
TIGR01504	21.97089581	0.054869008	0.268074857	0.204677934	0.837823762	0.931416978	NA		glyox_carbo_lig	glyoxylate carboligase	gcl	4.1.1.47	"Glyoxylate carboligase, also called tartronate-semialdehyde synthase, releases CO2 while synthesizing a single molecule of tartronate semialdehyde from two molecules of glyoxylate. It is a thiamine pyrophosphate-dependent enzyme, closely related in sequence to the large subunit of acetolactate synthase. In the D-glycerate pathway, part of allantoin degradation in the Enterobacteriaceae, tartronate semialdehyde is converted to D-glycerate and then 3-phosphoglycerate, a product of glycolysis and entry point in the general metabolism."
TIGR01120	8.647412378	-0.070546496	0.345469427	-0.204204743	0.838193505	0.931416978	Energy metabolism		rpiB	ribose 5-phosphate isomerase B	rpiB	5.3.1.6	Involved in the non-oxidative branch of the pentose phospate pathway.
TIGR03269	16.13111587	-0.070365346	0.360740155	-0.195058257	0.845347341	0.937889014	Energy metabolism		met_CoM_red_A2	"methyl coenzyme M reductase system, component A2"	atwA	NA	"The enzyme that catalyzes the final step in methanogenesis, methyl coenzyme M reductase, contains alpha, beta, and gamma chains. In older literature, the complex of alpha, beta, and gamma chains was termed component C, while this single chain protein was termed methyl coenzyme M reductase system component A2."
TIGR03258	81.53054578	0.039463319	0.202736793	0.194652969	0.845664633	0.937889014	NA		PhnT	"2-aminoethylphosphonate ABC transport system, ATP-binding component PhnT"	phnT	NA	This ATP-binding component of an ABC transport system is found in Salmonella and Burkholderia lineages in the vicinity of enzymes for the breakdown of 2-aminoethylphosphonate.
TIGR03440	18.67300631	0.077565545	0.403825845	0.192076724	0.847682107	0.938791701	"Biosynthesis of cofactors, prosthetic groups, and carriers"		egtB_TIGR03440	ergothioneine biosynthesis protein EgtB	egtB	NA	"Members of this family include EgtB, and enzyme of the ergothioneine biosynthesis, as found in numerous Actinobacteria. Characterized homologs to this family include a formylglycine-generating enzyme that serves as a maturase for an aerobic sulfatase (cf. the radical SAM enzymes that serve as anaerobic sulfatase maturases)."
TIGR02273	6.949100514	0.075911782	0.400604717	0.18949298	0.849706456	0.938791701	Transcription		16S_RimM	16S rRNA processing protein RimM	rimM	NA	"This family consists of the bacterial protein RimM (YfjA, 21K), a 30S ribosomal subunit-binding protein implicated in 16S ribsomal RNA processing. It has been partially characterized in Escherichia coli, is found with other translation-associated genes such as trmD. It is broadly distributed among bacteria, including some minimal genomes such the aphid endosymbiont Buchnera aphidicola. The protein contains a PRC-barrel domain that it shares with other protein families (PF05239) and a unique domain (PF01782). This model describes the full-length protein. A member from Arabidopsis (plant) has additional N-terminal sequence likely to represent a chloroplast transit peptide."
TIGR00033	16.24514102	-0.04304522	0.227243073	-0.189423683	0.849760764	0.938791701	Amino acid biosynthesis		aroC	chorismate synthase	aroC	4.2.3.5	Homotetramer (noted in E.coli) suggests reason for good conservation.
TIGR04181	20.29300791	0.052957629	0.279600048	0.189404937	0.849775455	0.938791701	NA		NHT_00031	"aminotransferase, LLPSF_NHT_00031 family"	NA	NA	This clade of aminotransferases is a member of the PF01041 (DegT/DnrJ/EryC1/StrS) superfamily.
TIGR02082	81.68447894	0.024384842	0.132946078	0.183419041	0.854469237	0.940937845	Amino acid biosynthesis		metH	5-methyltetrahydrofolate--homocysteine methyltransferase	metH	"S-methyltransferase (MetE, EC 2.1.1.14, the cobalamin-independent methionine synthase) and betaine-homocysteine methyltransferase."	"This family represents 5-methyltetrahydrofolate--homocysteine methyltransferase (EC 2.1.1.13), one of at least three different enzymes able to convert homocysteine to methionine by transferring a methyl group on to the sulfur atom. It is also called the vitamin B12(or cobalamine)-dependent methionine synthase. Other methionine synthases include 5-methyltetrahydropteroyltriglutamate--homocysteine S-methyltransferase (MetE, EC 2.1.1.14, the cobalamin-independent methionine synthase) and betaine-homocysteine methyltransferase."
TIGR01424	13.5000131	-0.067617795	0.370373002	-0.182566749	0.855137976	0.940937845	Energy metabolism		gluta_reduc_2	"glutathione-disulfide reductase, plant"	gor	1.8.1.7	"The tripeptide glutathione is an important reductant, e.g., for maintaining the cellular thiol/disulfide status and for protecting against reactive oxygen species such as hydrogen peroxide. Glutathione-disulfide reductase regenerates reduced glutathione from oxidized glutathione (glutathione disulfide) + NADPH. This HMM represents one of two closely related subfamilies of glutathione-disulfide reductase. Both are closely related to trypanothione reductase, and separate models are built so each of the three can describe proteins with conserved function. This model describes glutathione-disulfide reductases of plants and some bacteria, including cyanobacteria."
TIGR03796	49.08574165	-0.030032126	0.165114382	-0.181886794	0.855671568	0.940937845	Cellular processes		NHLM_micro_ABC1	"NHLM bacteriocin system ABC transporter, peptidase/ATP-binding protein"	NA	NA	"This protein describes a multidomain ABC transporter subunit that is one of three protein families associated with some regularity with a distinctive family of putative bacteriocins. It includes a bacteriocin-processing peptidase domain at the N-terminus. Model TIGR03793 describes a conserved propeptide region for this bacteriocin family, unusual because it shows obvious homology a region of the enzyme nitrile hydratase up to the classic Gly-Gly cleavage motif. This family is therefore predicted to be a subunit of a bacteriocin processing and export system characteristic to this system that we designate NHLM, Nitrile Hydratase Leader Microcin."
TIGR00838	20.86848895	0.037572231	0.206714776	0.181758807	0.855772013	0.940937845	Amino acid biosynthesis		argH	argininosuccinate lyase	argH	4.3.2.1	"This model describes argininosuccinate lyase, but may include examples of avian delta crystallins, in which argininosuccinate lyase activity may or may not be present and the biological role is to provide the optically clear cellular protein of the eye lens."
TIGR00255	7.982087603	0.05959875	0.328533858	0.181408242	0.85604715	0.940937845	Hypothetical proteins		TIGR00255	TIGR00255 family protein	NA	NA	The apparent ortholog from Aquifex aeolicus as reported is split into two consecutive reading frames.
TIGR03740	30.56756879	-0.048168612	0.266701554	-0.180608665	0.856674754	0.940937845	NA		galliderm_ABC	"gallidermin-class lantibiotic protection ABC transporter, ATP-binding subunit"	NA	NA	"Model TIGR03731 represents the family of all lantibiotics related to gallidermin, including epidermin, mutatin, and nisin. This protein family describes the ATP-binding subunit of a gallidermin/epidermin class lantibiotic protection transporter. It is largely restricted to gallidermin-family lantibiotic biosynthesis and export cassettes, but also occurs in orphan transporter cassettes in species that lack candidate lantibiotic precursor and synthetase genes."
TIGR00435	31.49274902	0.038170097	0.218806114	0.174447121	0.861514085	0.945341563	Protein synthesis		cysS	cysteinyl-tRNA synthetase	cysS	6.1.1.16	"This HMM finds the cysteinyl-tRNA synthetase from most but not from all species. The enzyme from one archaeal species, Archaeoglobus fulgidus, is found but the equivalent enzymes from some other Archaea, including Methanococcus jannaschii, are not found, although biochemical evidence suggests that tRNA(Cys) in these species are charged directly with Cys rather than through a misacylation and correction pathway as for tRNA(Gln)."
TIGR02080	18.67371211	0.045770497	0.269239286	0.169999324	0.865010668	0.947988703	Amino acid biosynthesis		O_succ_thio_ly	O-succinylhomoserine (thiol)-lyase	metB	2.5.1.48	"This family consists of O-succinylhomoserine (thiol)-lyase, one of three different enzymes designated cystathionine gamma-synthase and involved in methionine biosynthesis. In all three cases, sulfur is added by transsulfuration from Cys to yield cystathionine rather than by a sulfhydrylation step that"
TIGR01846	63.9651374	-0.02658633	0.157072671	-0.169261332	0.865591089	0.947988703	Protein fate		type_I_sec_HlyB	"type I secretion system ABC transporter, HlyB family"	NA	NA	"Type I protein secretion is a system in some Gram-negative bacteria to export proteins (often proteases) across both inner and outer membranes to the extracellular medium. This is one of three proteins of the type I secretion apparatus. Targeted proteins are not cleaved at the N-terminus, but rather carry signals located toward the extreme C-terminus to direct type I secretion."
TIGR00707	42.2800844	-0.027410592	0.165090483	-0.166033751	0.868130389	0.949856401	NA		argD	"transaminase, acetylornithine/succinylornithine family"	NA	"This family of proteins, for which ornithine aminotransferases form an outgroup, consists mostly of proteins designated acetylornithine aminotransferase. However, the two very closely related members from E. coli are assigned different enzymatic activities. One is acetylornithine aminotransferase (EC 2.6.1.11), ArgD, an enzyme of arginine biosynthesis, while another is succinylornithine aminotransferase, an enzyme of the arginine succinyltransferase pathway, an ammonia-generating pathway of arginine catabolism (See MEDLINE:98361920)."	"This family of proteins, for which ornithine aminotransferases form an outgroup, consists mostly of proteins designated acetylornithine aminotransferase. However, the two very closely related members from E. coli are assigned different enzymatic activities. One is acetylornithine aminotransferase (EC 2.6.1.11), ArgD, an enzyme of arginine biosynthesis, while another is succinylornithine aminotransferase, an enzyme of the arginine succinyltransferase pathway, an ammonia-generating pathway of arginine catabolism (See MEDLINE:98361920). Members of this family may also act on ornithine, like ornithine aminotransferase (EC 2.6.1.13) (see MEDLINE:90337349) and on succinyldiaminopimelate, like N-succinyldiaminopmelate-aminotransferase (EC 2.6.1.17, DapC, an enzyme of lysine biosynthesis) (see MEDLINE:99175097)"
TIGR01968	7.55323338	-0.054867771	0.336495201	-0.163056622	0.870473853	0.951506448	Cellular processes		minD_bact	septum site-determining protein MinD	minD	NA	"This HMM describes the bacterial and chloroplast form of MinD, a multifunctional cell division protein that guides correct placement of the septum. The homologous archaeal MinD proteins, with many archaeal genomes having two or more forms, are described by a separate model."
TIGR03858	9.784910424	0.058095719	0.360547164	0.161132092	0.871989365	0.952249172	NA		LLM_2I7G	"probable oxidoreductase, LLM family"	NA	1.-.-.-	"This HMM describes a highly conserved, somewhat broadly distributed family withing the luciferase-like monooxygenase (LLM) superfamily. Most members are from species incapable of synthesizing coenzyme F420, bound by some members of the LLM superfamily. Members, therefore, are more likely to use FMN as a cofactor."
TIGR02389	22.30647002	0.089129094	0.560793456	0.158933905	0.873720948	0.953226207	Transcription		RNA_pol_rpoA2	"DNA-directed RNA polymerase, subunit A"	rpoA2	2.7.7.6	This family consists of the archaeal A subunit of the DNA-directed RNA polymerase. The example from Methanocaldococcus jannaschii contains an intein.
TIGR00874	47.63776871	0.065672005	0.421495515	0.155807126	0.876185053	0.954725769	Energy metabolism		talAB	transaldolase	tal	2.2.1.2	"This family includes the majority of known and predicted transaldolase sequences, including E. coli TalA and TalB. It excluded two other families. The first includes E. coli transaldolase-like protein TalC. The second family includes the putative transaldolases of Helicobacter pylori and Mycobacterium tuberculosis."
TIGR01421	11.94105183	0.058227503	0.37696469	0.154464078	0.877243833	0.954725769	Energy metabolism		gluta_reduc_1	"glutathione-disulfide reductase, animal/bacterial"	gor	1.8.1.7	"The tripeptide glutathione is an important reductant, e.g., for maintaining the cellular thiol/disulfide status and for protecting against reactive oxygen species such as hydrogen peroxide. Glutathione-disulfide reductase regenerates reduced glutathione from oxidized glutathione (glutathione disulfide) + NADPH."
TIGR00521	17.12485801	-0.039561047	0.257696781	-0.153517815	0.877989943	0.954725769	"Biosynthesis of cofactors, prosthetic groups, and carriers"		coaBC_dfp	phosphopantothenoylcysteine decarboxylase / phosphopantothenate--cysteine ligase	coaBC	4.1.1.36 6.3.2.5	"This HMM represents a bifunctional enzyme that catalyzes the second and third steps (cysteine ligation, EC 6.3.2.5, and decarboxylation, EC 4.1.1.36) in the biosynthesis of coenzyme A (CoA) from pantothenate in bacteria."
TIGR02344	16.14824917	0.058526196	0.38465112	0.152153972	0.879065496	0.954725769	NA		chap_CCT_gamma	"T-complex protein 1, gamma subunit"	NA	NA	"Members of this family, all eukaryotic, are part of the group II chaperonin complex called CCT (chaperonin containing TCP-1) or TRiC. The archaeal equivalent group II chaperonin is often called the thermosome. Both are somewhat related to the group I chaperonin of bacterial, GroEL/GroES. This family consists exclusively of the CCT gamma chain (part of a paralogous family) from animals, plants, fungi, and other eukaryotes."
TIGR00514	67.73969425	0.029180644	0.194483672	0.150041614	0.880731783	0.954725769	Fatty acid and phospholipid metabolism		accC	"acetyl-CoA carboxylase, biotin carboxylase subunit"	accC	6.3.4.14	"This model represents the biotin carboxylase subunit found usually as a component of acetyl-CoA carboxylase. Acetyl-CoA carboxylase is designated EC 6.4.1.2 and this component, biotin carboxylase, has its own designation, EC 6.3.4.14. Homologous domains are found in eukaryotic forms of acetyl-CoA carboxylase and in a number of other carboxylases (e.g. pyruvate carboxylase), but seed members and trusted cutoff are selected so as to exclude these. In some systems, the biotin carboxyl carrier protein and this protein (biotin carboxylase) may be shared by different carboxyltransferases. However, this model is not intended to identify the biotin carboxylase domain of propionyl-coA carboxylase. The model should hit the full length of proteins, except for chloroplast transit peptides in plants. If it hits a domain only of a longer protein, there may be a problem with the identification."
TIGR01930	94.31347292	-0.018528552	0.123897774	-0.149547096	0.88112195	0.954725769	Fatty acid and phospholipid metabolism		AcCoA-C-Actrans	acetyl-CoA acetyltransferases	NA	"This model represents a large family of enzymes which catalyze the thiolysis of a linear fatty acid CoA (or acetoacetyl-CoA) using a second CoA molecule to produce acetyl-CoA and a CoA-ester product two carbons shorter (or, alternatively, the"	"This model represents a large family of enzymes which catalyze the thiolysis of a linear fatty acid CoA (or acetoacetyl-CoA) using a second CoA molecule to produce acetyl-CoA and a CoA-ester product two carbons shorter (or, alternatively, the"
TIGR00236	8.936840546	-0.056774046	0.381920069	-0.148654262	0.881826454	0.954725769	Cell envelope		wecB	UDP-N-acetylglucosamine 2-epimerase	NA	5.1.3.14	"This cytosolic enzyme converts UDP-N-acetyl-D-glucosamine to UDP-N-acetyl-D-mannosamine. In E. coli, this is the first step in the pathway of enterobacterial common antigen biosynthesis. Members of this orthology group have many gene symbols, often reflecting the overall activity of the pathway and/or operon that includes it. Symbols include epsC (exopolysaccharide C) in Burkholderia solanacerum, cap8P (type 8 capsule P) in Staphylococcus aureus, and nfrC in an older designation based on the effects of deletion on phage N4 adsorption.  Epimerase activity was also demonstrated in a bifunctional rat enzyme, for which the N-terminal domain appears to be orthologous. The set of proteins found above the suggested cutoff includes E. coli WecB in one of two deeply branched clusters and the rat UDP-N-acetylglucosamine 2-epimerase domain in the other."
TIGR04137	12.40771215	-0.055416895	0.381287202	-0.145341608	0.884441165	0.954725769	NA		Chlam_Ver_rRNA	Chlam_Verruc_Plancto small basic protein	NA	NA	"Members of this protein family are commonly found next to markers of rRNA processing such as YbeY. They are extremely lineage-restricted, in the Planctomycetes and Chlamydiae/Verrucomicrobia group. Since classification is based on rRNA molecular phylogeny, this provides additional support for a role in rRNA metabolism. This small protein, about 50 amino acids in length, is rich in basic residues, a third line of support for rRNA interaction."
TIGR02315	97.70245242	0.030198593	0.207818658	0.145312231	0.884464358	0.954725769	Transport and binding proteins		ABC_phnC	"phosphonate ABC transporter, ATP-binding protein"	phnC	3.6.3.28	"Phosphonates are a class of phosphorus-containing organic compound with a stable direct C-P bond rather than a C-O-P linkage. A number of bacterial species have operons, typically about 14 genes in size, with genes for ATP-dependent transport of phosphonates, degradation, and regulation of the expression of the system. Members of this protein family are the ATP-binding cassette component of tripartite ABC transporters of phosphonates."
TIGR02027	281.2340292	0.034120031	0.234948134	0.145223671	0.884534277	0.954725769	Transcription		rpoA	"DNA-directed RNA polymerase, alpha subunit, bacterial and chloroplast-type"	rpoA	2.7.7.6	"This family consists of the bacterial (and chloroplast) DNA-directed RNA polymerase alpha subunit, encoded by the rpoA gene. The RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates. The amino terminal domain is involved in dimerizing and assembling the other RNA polymerase subunits into a transcriptionally active enzyme. The carboxy-terminal domain contains determinants for interaction with DNA and with transcriptional activator proteins."
